Type,Strike,Barrier,Price
UO,6944.47,7291.6935,2.136041549141771
UO,6944.47,7327.124469387755,2.877126372716586
UO,6944.47,7362.555438775511,3.690092196351486
UO,6944.47,7397.986408163266,5.035019619326026
UO,6944.47,7433.417377551021,6.396478482932165
UO,6944.47,7468.848346938776,7.950163911092694
UO,6944.47,7504.279316326531,9.861614077750925
UO,6944.47,7539.710285714286,11.370750857558045
UO,6944.47,7575.141255102041,13.987018582509801
UO,6944.47,7610.572224489796,17.775020576181753
UO,6944.47,7646.003193877552,20.84677784429368
UO,6944.47,7681.434163265307,23.838476500481345
UO,6944.47,7716.865132653062,28.100436314477903
UO,6944.47,7752.296102040817,31.082379585411967
UO,6944.47,7787.727071428572,35.84659086965116
UO,6944.47,7823.158040816327,40.66126657725796
UO,6944.47,7858.589010204082,47.032368802226294
UO,6944.47,7894.019979591838,53.22543695876973
UO,6944.47,7929.450948979593,59.2700860326058
UO,6944.47,7964.881918367348,65.69497725937953
UO,6944.47,8000.312887755103,73.2763541620917
UO,6944.47,8035.743857142858,81.0659668645981
UO,6944.47,8071.174826530613,89.46531077289993
UO,6944.47,8106.605795918368,96.817614084003
UO,6944.47,8142.036765306123,105.85589418161246
UO,6944.47,8177.467734693879,113.86813661971944
UO,6944.47,8212.898704081634,123.10760681394198
UO,6944.47,8248.329673469389,131.92086917742776
UO,6944.47,8283.760642857143,143.60869572171256
UO,6944.47,8319.191612244898,154.00620735944955
UO,6944.47,8354.622581632655,164.41906258820416
UO,6944.47,8390.05355102041,174.96220651846073
UO,6944.47,8425.484520408165,185.5713335909702
UO,6944.47,8460.91548979592,196.1939837378142
UO,6944.47,8496.346459183675,207.76453775373864
UO,6944.47,8531.77742857143,220.32103987528848
UO,6944.47,8567.208397959184,231.71682025084692
UO,6944.47,8602.63936734694,241.5765044796316
UO,6944.47,8638.070336734694,252.74576064935178
UO,6944.47,8673.50130612245,264.41782529057735
UO,6944.47,8708.932275510206,274.4183505378848
UO,6944.47,8744.36324489796,284.6962690031342
UO,6944.47,8779.794214285715,294.4152564470022
UO,6944.47,8815.22518367347,303.2141996281528
UO,6944.47,8850.656153061225,311.66188115746286
UO,6944.47,8886.087122448982,323.3517696488459
UO,6944.47,8921.518091836737,335.3484870934505
UO,6944.47,8956.949061224492,344.54295563348995
UO,6944.47,8992.380030612247,355.4037959256825
UO,6944.47,9027.811000000002,364.26912151399193
UI,6944.47,7291.6935,603.7146989029712
UI,6944.47,7327.124469387755,602.9736140793966
UI,6944.47,7362.555438775511,602.1606482557617
UI,6944.47,7397.986408163266,600.8157208327871
UI,6944.47,7433.417377551021,599.454261969181
UI,6944.47,7468.848346938776,597.9005765410204
UI,6944.47,7504.279316326531,595.9891263743622
UI,6944.47,7539.710285714286,594.4799895945551
UI,6944.47,7575.141255102041,591.8637218696033
UI,6944.47,7610.572224489796,588.0757198759313
UI,6944.47,7646.003193877552,585.0039626078194
UI,6944.47,7681.434163265307,582.0122639516318
UI,6944.47,7716.865132653062,577.7503041376351
UI,6944.47,7752.296102040817,574.7683608667011
UI,6944.47,7787.727071428572,570.0041495824619
UI,6944.47,7823.158040816327,565.1894738748551
UI,6944.47,7858.589010204082,558.8183716498868
UI,6944.47,7894.019979591838,552.6253034933433
UI,6944.47,7929.450948979593,546.5806544195073
UI,6944.47,7964.881918367348,540.1557631927336
UI,6944.47,8000.312887755103,532.5743862900214
UI,6944.47,8035.743857142858,524.784773587515
UI,6944.47,8071.174826530613,516.3854296792132
UI,6944.47,8106.605795918368,509.03312636811006
UI,6944.47,8142.036765306123,499.9948462705007
UI,6944.47,8177.467734693879,491.9826038323937
UI,6944.47,8212.898704081634,482.7431336381711
UI,6944.47,8248.329673469389,473.92987127468535
UI,6944.47,8283.760642857143,462.24204473040055
UI,6944.47,8319.191612244898,451.8445330926636
UI,6944.47,8354.622581632655,441.431677863909
UI,6944.47,8390.05355102041,430.8885339336524
UI,6944.47,8425.484520408165,420.2794068611429
UI,6944.47,8460.91548979592,409.6567567142989
UI,6944.47,8496.346459183675,398.08620269837445
UI,6944.47,8531.77742857143,385.52970057682467
UI,6944.47,8567.208397959184,374.13392020126616
UI,6944.47,8602.63936734694,364.27423597248145
UI,6944.47,8638.070336734694,353.1049798027613
UI,6944.47,8673.50130612245,341.43291516153573
UI,6944.47,8708.932275510206,331.4323899142283
UI,6944.47,8744.36324489796,321.15447144897894
UI,6944.47,8779.794214285715,311.4354840051109
UI,6944.47,8815.22518367347,302.6365408239603
UI,6944.47,8850.656153061225,294.18885929465023
UI,6944.47,8886.087122448982,282.4989708032671
UI,6944.47,8921.518091836737,270.5022533586626
UI,6944.47,8956.949061224492,261.30778481862313
UI,6944.47,8992.380030612247,250.44694452643066
UI,6944.47,9027.811000000002,241.58161893812118
